cell_id,orig_obs_idx,role,gene_transcript
k562_4675,4675,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_4738,4738,nt,NT_POOL
k562_4776,4776,nt,NT_POOL
k562_4812,4812,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_4852,4852,nt,NT_POOL
k562_4987,4987,nt,NT_POOL
k562_4996,4996,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_5011,5011,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_5121,5121,nt,NT_POOL
k562_5198,5198,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_5226,5226,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_5243,5243,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_5251,5251,nt,NT_POOL
k562_5422,5422,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_5423,5423,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_5435,5435,nt,NT_POOL
k562_5532,5532,nt,NT_POOL
k562_5606,5606,nt,NT_POOL
k562_5624,5624,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_5719,5719,nt,NT_POOL
k562_5784,5784,nt,NT_POOL
k562_5791,5791,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_5800,5800,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_5821,5821,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_5846,5846,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_5978,5978,nt,NT_POOL
k562_6070,6070,nt,NT_POOL
k562_6084,6084,nt,NT_POOL
k562_6194,6194,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_6215,6215,nt,NT_POOL
k562_6242,6242,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_6245,6245,nt,NT_POOL
k562_6291,6291,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_6295,6295,nt,NT_POOL
k562_6316,6316,nt,NT_POOL
k562_6372,6372,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_6396,6396,nt,NT_POOL
k562_6413,6413,nt,NT_POOL
k562_6450,6450,nt,NT_POOL
k562_6514,6514,nt,NT_POOL
k562_6536,6536,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_6618,6618,nt,NT_POOL
k562_6658,6658,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_6664,6664,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_6692,6692,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_6722,6722,nt,NT_POOL
k562_6853,6853,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_6855,6855,nt,NT_POOL
k562_6899,6899,nt,NT_POOL
k562_6951,6951,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_6964,6964,nt,NT_POOL
k562_7045,7045,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_7074,7074,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_7107,7107,nt,NT_POOL
k562_7248,7248,nt,NT_POOL
k562_7269,7269,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_7278,7278,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_7344,7344,nt,NT_POOL
k562_7505,7505,nt,NT_POOL
k562_7529,7529,nt,NT_POOL
k562_7574,7574,nt,NT_POOL
k562_7620,7620,nt,NT_POOL
k562_7794,7794,nt,NT_POOL
k562_7850,7850,nt,NT_POOL
k562_7881,7881,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_7970,7970,nt,NT_POOL
k562_8012,8012,nt,NT_POOL
k562_8114,8114,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_8208,8208,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_8280,8280,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_8305,8305,nt,NT_POOL
k562_8319,8319,nt,NT_POOL
k562_8362,8362,nt,NT_POOL
k562_8374,8374,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_8406,8406,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_8440,8440,nt,NT_POOL
k562_8539,8539,nt,NT_POOL
k562_8761,8761,nt,NT_POOL
k562_8796,8796,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_8823,8823,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_8842,8842,nt,NT_POOL
k562_8875,8875,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_8893,8893,nt,NT_POOL
k562_8981,8981,nt,NT_POOL
k562_8989,8989,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_9020,9020,nt,NT_POOL
k562_9117,9117,nt,NT_POOL
k562_9197,9197,nt,NT_POOL
k562_9212,9212,nt,NT_POOL
k562_9273,9273,nt,NT_POOL
k562_9275,9275,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_9394,9394,nt,NT_POOL
k562_9486,9486,nt,NT_POOL
k562_9540,9540,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_9609,9609,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_9632,9632,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_9709,9709,nt,NT_POOL
k562_9872,9872,nt,NT_POOL
k562_9902,9902,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_9922,9922,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_10007,10007,nt,NT_POOL
k562_10048,10048,nt,NT_POOL
k562_10082,10082,nt,NT_POOL
k562_10314,10314,nt,NT_POOL
k562_10445,10445,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_10452,10452,nt,NT_POOL
k562_10464,10464,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_10506,10506,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_10521,10521,nt,NT_POOL
k562_10595,10595,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_10622,10622,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_10710,10710,nt,NT_POOL
k562_10784,10784,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_10796,10796,nt,NT_POOL
k562_10858,10858,nt,NT_POOL
k562_10909,10909,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_10919,10919,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_10942,10942,nt,NT_POOL
k562_10993,10993,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_11108,11108,nt,NT_POOL
k562_11120,11120,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_11164,11164,nt,NT_POOL
k562_11187,11187,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_11238,11238,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_11294,11294,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_11327,11327,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_11343,11343,nt,NT_POOL
k562_11404,11404,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_11536,11536,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_11544,11544,nt,NT_POOL
k562_11560,11560,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_11691,11691,nt,NT_POOL
k562_11767,11767,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_11774,11774,nt,NT_POOL
k562_11896,11896,nt,NT_POOL
k562_11917,11917,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_12016,12016,nt,NT_POOL
k562_12095,12095,nt,NT_POOL
k562_12153,12153,nt,NT_POOL
k562_12168,12168,nt,NT_POOL
k562_12241,12241,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_12243,12243,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_12269,12269,nt,NT_POOL
k562_12306,12306,nt,NT_POOL
k562_12367,12367,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_12388,12388,nt,NT_POOL
k562_12497,12497,nt,NT_POOL
k562_12672,12672,nt,NT_POOL
k562_12725,12725,nt,NT_POOL
k562_12766,12766,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_12838,12838,nt,NT_POOL
k562_12901,12901,nt,NT_POOL
k562_12907,12907,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_12918,12918,nt,NT_POOL
k562_12944,12944,nt,NT_POOL
k562_12992,12992,nt,NT_POOL
k562_13140,13140,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_13184,13184,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_13188,13188,nt,NT_POOL
k562_13304,13304,nt,NT_POOL
k562_13385,13385,nt,NT_POOL
k562_13421,13421,nt,NT_POOL
k562_13484,13484,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_13512,13512,nt,NT_POOL
k562_13625,13625,nt,NT_POOL
k562_13637,13637,nt,NT_POOL
k562_13692,13692,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_13713,13713,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_13781,13781,nt,NT_POOL
k562_13814,13814,nt,NT_POOL
k562_13834,13834,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_13894,13894,nt,NT_POOL
k562_13981,13981,nt,NT_POOL
k562_14055,14055,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_14079,14079,nt,NT_POOL
k562_14100,14100,nt,NT_POOL
k562_14142,14142,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_14167,14167,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_14200,14200,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_14215,14215,nt,NT_POOL
k562_14240,14240,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_14292,14292,nt,NT_POOL
k562_14352,14352,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_14388,14388,nt,NT_POOL
k562_14434,14434,nt,NT_POOL
k562_14468,14468,nt,NT_POOL
k562_14494,14494,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_14535,14535,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_14546,14546,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_14559,14559,nt,NT_POOL
k562_14591,14591,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_14598,14598,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_14615,14615,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_14643,14643,nt,NT_POOL
k562_14690,14690,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_14702,14702,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_14724,14724,nt,NT_POOL
k562_14794,14794,nt,NT_POOL
k562_14863,14863,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_14912,14912,nt,NT_POOL
k562_14971,14971,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_15038,15038,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_15050,15050,nt,NT_POOL
k562_15055,15055,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_15086,15086,nt,NT_POOL
k562_15106,15106,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_15213,15213,nt,NT_POOL
k562_15265,15265,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_15273,15273,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_15334,15334,nt,NT_POOL
k562_15413,15413,nt,NT_POOL
k562_15431,15431,nt,NT_POOL
k562_15439,15439,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_15463,15463,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_15494,15494,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_15537,15537,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_15544,15544,nt,NT_POOL
k562_15574,15574,nt,NT_POOL
k562_15650,15650,nt,NT_POOL
k562_15724,15724,nt,NT_POOL
k562_15764,15764,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_15783,15783,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_15819,15819,nt,NT_POOL
k562_15857,15857,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_15917,15917,nt,NT_POOL
k562_15949,15949,nt,NT_POOL
k562_16021,16021,nt,NT_POOL
k562_16026,16026,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_16075,16075,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_16159,16159,nt,NT_POOL
k562_16265,16265,nt,NT_POOL
k562_16311,16311,nt,NT_POOL
k562_16358,16358,nt,NT_POOL
k562_16360,16360,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_16422,16422,nt,NT_POOL
k562_16525,16525,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_16650,16650,nt,NT_POOL
k562_16673,16673,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_16859,16859,nt,NT_POOL
k562_16861,16861,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_16941,16941,nt,NT_POOL
k562_16981,16981,nt,NT_POOL
k562_17048,17048,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_17049,17049,nt,NT_POOL
k562_17195,17195,nt,NT_POOL
k562_17288,17288,nt,NT_POOL
k562_17394,17394,perturbed,1004_C17orf58_P1P2_ENSG00000186665
k562_17406,17406,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_17467,17467,nt,NT_POOL
k562_17498,17498,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_17506,17506,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_17533,17533,nt,NT_POOL
k562_17581,17581,nt,NT_POOL
k562_17622,17622,nt,NT_POOL
k562_17752,17752,nt,NT_POOL
k562_17868,17868,nt,NT_POOL
k562_17934,17934,nt,NT_POOL
k562_17968,17968,nt,NT_POOL
k562_17994,17994,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_18082,18082,nt,NT_POOL
k562_18097,18097,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_18162,18162,nt,NT_POOL
k562_18206,18206,nt,NT_POOL
k562_18222,18222,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_18278,18278,nt,NT_POOL
k562_18299,18299,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_18336,18336,nt,NT_POOL
k562_18378,18378,nt,NT_POOL
k562_18414,18414,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_18457,18457,nt,NT_POOL
k562_18478,18478,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_18487,18487,nt,NT_POOL
k562_18554,18554,nt,NT_POOL
k562_18585,18585,perturbed,10135_ZMAT2_P2_ENSG00000146007
k562_18722,18722,nt,NT_POOL
k562_18734,18734,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_18765,18765,nt,NT_POOL
k562_18900,18900,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_18971,18971,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_18988,18988,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_19035,19035,nt,NT_POOL
k562_19145,19145,nt,NT_POOL
k562_19147,19147,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_19207,19207,nt,NT_POOL
k562_19302,19302,nt,NT_POOL
k562_19393,19393,nt,NT_POOL
k562_19483,19483,nt,NT_POOL
k562_19500,19500,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_19522,19522,nt,NT_POOL
k562_19613,19613,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_19640,19640,nt,NT_POOL
k562_19665,19665,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_19698,19698,perturbed,10236_ZNF24_P1P2_ENSG00000172466
k562_19732,19732,nt,NT_POOL
k562_19816,19816,nt,NT_POOL
k562_19866,19866,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_19897,19897,nt,NT_POOL
k562_19918,19918,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_20001,20001,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_20017,20017,nt,NT_POOL
k562_20067,20067,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_20122,20122,nt,NT_POOL
k562_20165,20165,nt,NT_POOL
k562_20231,20231,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_20282,20282,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_20296,20296,nt,NT_POOL
k562_20340,20340,nt,NT_POOL
k562_20410,20410,nt,NT_POOL
k562_20481,20481,nt,NT_POOL
k562_20487,20487,nt,NT_POOL
k562_20566,20566,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_20592,20592,nt,NT_POOL
k562_20653,20653,nt,NT_POOL
k562_20717,20717,nt,NT_POOL
k562_20725,20725,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_20758,20758,nt,NT_POOL
k562_20813,20813,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_20899,20899,nt,NT_POOL
k562_20970,20970,nt,NT_POOL
k562_21019,21019,nt,NT_POOL
k562_21081,21081,nt,NT_POOL
k562_21125,21125,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_21154,21154,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_21206,21206,nt,NT_POOL
k562_21363,21363,nt,NT_POOL
k562_21457,21457,nt,NT_POOL
k562_21571,21571,nt,NT_POOL
k562_21596,21596,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_21598,21598,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_21606,21606,nt,NT_POOL
k562_21649,21649,nt,NT_POOL
k562_21696,21696,nt,NT_POOL
k562_21721,21721,nt,NT_POOL
k562_21764,21764,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_21784,21784,nt,NT_POOL
k562_21921,21921,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_21930,21930,nt,NT_POOL
k562_21941,21941,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_21957,21957,nt,NT_POOL
k562_21984,21984,perturbed,1035_C1orf109_P1_ENSG00000116922
k562_21996,21996,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_22045,22045,nt,NT_POOL
k562_22149,22149,nt,NT_POOL
k562_22172,22172,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_22179,22179,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_22197,22197,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_22233,22233,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_22247,22247,perturbed,10073_ZFC3H1_P1P2_ENSG00000133858
k562_22308,22308,nt,NT_POOL
k562_22374,22374,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_22396,22396,nt,NT_POOL
k562_22451,22451,nt,NT_POOL
k562_22468,22468,nt,NT_POOL
k562_22487,22487,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_22520,22520,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_22608,22608,nt,NT_POOL
k562_22673,22673,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_22675,22675,nt,NT_POOL
k562_22774,22774,nt,NT_POOL
k562_22800,22800,nt,NT_POOL
k562_22833,22833,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_22859,22859,nt,NT_POOL
k562_22938,22938,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_22983,22983,nt,NT_POOL
k562_22989,22989,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_23039,23039,nt,NT_POOL
k562_23124,23124,nt,NT_POOL
k562_23168,23168,nt,NT_POOL
k562_23199,23199,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_23297,23297,nt,NT_POOL
k562_23310,23310,perturbed,10297_ZNF335_P1P2_ENSG00000198026
k562_23371,23371,perturbed,10139_ZMAT5_P1P2_ENSG00000100319
k562_23414,23414,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_23432,23432,nt,NT_POOL
k562_23565,23565,nt,NT_POOL
k562_23589,23589,nt,NT_POOL
k562_23635,23635,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_23644,23644,nt,NT_POOL
k562_23718,23718,nt,NT_POOL
k562_23755,23755,nt,NT_POOL
k562_23786,23786,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_23811,23811,nt,NT_POOL
k562_23854,23854,perturbed,1022_C19orf53_P1P2_ENSG00000104979
k562_23862,23862,nt,NT_POOL
k562_23964,23964,nt,NT_POOL
k562_24008,24008,nt,NT_POOL
k562_24029,24029,perturbed,10041_ZCRB1_P1P2_ENSG00000139168
k562_24074,24074,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_24084,24084,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_24098,24098,nt,NT_POOL
k562_24144,24144,nt,NT_POOL
k562_24295,24295,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_24324,24324,nt,NT_POOL
k562_24405,24405,nt,NT_POOL
k562_24427,24427,nt,NT_POOL
k562_24451,24451,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_24471,24471,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_24497,24497,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_24607,24607,perturbed,1032_C1QBP_P1P2_ENSG00000108561
k562_24659,24659,nt,NT_POOL
k562_24818,24818,nt,NT_POOL
k562_24903,24903,nt,NT_POOL
k562_25008,25008,nt,NT_POOL
k562_25115,25115,nt,NT_POOL
k562_25156,25156,nt,NT_POOL
k562_25173,25173,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_25244,25244,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_25353,25353,nt,NT_POOL
k562_25440,25440,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_25444,25444,nt,NT_POOL
k562_25491,25491,perturbed,1016_C19orf25_P1P2_ENSG00000119559
k562_25496,25496,perturbed,1029_C1D_P1P2_ENSG00000197223
k562_25516,25516,perturbed,1036_C1orf109_P2_ENSG00000116922
k562_25600,25600,nt,NT_POOL
k562_25675,25675,nt,NT_POOL
k562_25690,25690,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_25767,25767,nt,NT_POOL
k562_25818,25818,nt,NT_POOL
k562_25823,25823,perturbed,10201_ZNF207_P2_ENSG00000010244
k562_25876,25876,nt,NT_POOL
k562_25928,25928,nt,NT_POOL
k562_25991,25991,perturbed,10280_ZNF317_P1P2_ENSG00000130803
k562_26021,26021,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_26022,26022,nt,NT_POOL
k562_26113,26113,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_26133,26133,nt,NT_POOL
k562_26176,26176,perturbed,10136_ZMAT2_P1_ENSG00000146007
k562_26210,26210,perturbed,10152_ZNF100_P1P2_ENSG00000197020
k562_26215,26215,perturbed,10040_ZCCHC9_P1P2_ENSG00000131732
k562_26219,26219,nt,NT_POOL
k562_26266,26266,nt,NT_POOL
k562_26340,26340,nt,NT_POOL
k562_26354,26354,perturbed,10202_ZNF207_P1_ENSG00000010244
k562_26445,26445,nt,NT_POOL
k562_26518,26518,nt,NT_POOL
k562_26568,26568,nt,NT_POOL
k562_26622,26622,nt,NT_POOL
